study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
1b,XIN4R,retest_lever_baseline,270.0,1
1b,XIN4R,retest_lever_baseline,405.0,1
1b,XIN4R,retest_lever_baseline,540.0,1
1b,XIN4R,retest_lever_baseline,625.0,1
1b,XIN4R,retest_lever_baseline,860.0,1
1b,XIN4R,retest_lever_baseline,970.0,1
1b,XIN4R,retest_lever_baseline,1035.0,1
1b,XIN4R,retest_lever_baseline,1200.0,1
1b,XIN4R,retest_lever_baseline,1355.0,1
1b,XIN4R,retest_lever_baseline,2320.0,1
1b,XIN4R,retest_lever_baseline,3000.0,1
2,EXT1B,LTM2,0.0,1
2,EXT1B,LTM2,180.0,1
2,EXT1B,LTM2,420.0,1
2,EXT1B,LTM2,570.0,1
2,EXT1B,LTM2,710.0,1
2,EXT1B,extinction1,0.0,1
2,EXT1B,extinction1,205.0,1
2,EXT1B,extinction1,905.0,1
2,EXT1B,extinction1,965.0,1
2,EXT1B,extinction1,1015.0,1
2,EXT1B,extinction1,1020.0,1
2,EXT1B,extinction1,1120.0,1
2,EXT1B,extinction1,1245.0,1
2,EXT1B,extinction1,1470.0,1
2,EXT1B,extinction1,1625.0,1
2,EXT1B,extinction2,0.0,1
2,EXT1B,extinction2,205.0,1
2,EXT1B,extinction2,905.0,1
2,EXT1B,extinction2,965.0,1
2,EXT1B,extinction2,1015.0,1
2,EXT1B,extinction2,1020.0,1
2,EXT1B,extinction2,1120.0,1
2,EXT1B,extinction2,1245.0,1
2,EXT1B,extinction2,1470.0,1
2,EXT1B,extinction2,1625.0,1
2,EXT1B,extinction3,0.0,1
2,EXT1B,extinction3,175.0,1
2,EXT1B,extinction3,230.0,1
2,EXT1B,extinction3,330.0,1
2,EXT1B,extinction3,430.0,1
2,EXT1B,extinction3,520.0,1
2,EXT1B,extinction3,625.0,1
2,EXT1B,extinction3,665.0,1
2,EXT1B,extinction3,730.0,1
2,EXT1B,extinction3,900.0,1
2,EXT1B,extinction3,1055.0,1
2,EXT1B,extinction3,1085.0,1
2,EXT1B,extinction3,1190.0,1
2,EXT1B,extinction3,1355.0,1
2,EXT1B,extinction3,1395.0,1
2,EXT1B,extinction3,1885.0,1
2,EXT1B,extinction4,0.0,1
2,EXT1B,extinction4,80.0,1
2,EXT1B,extinction4,350.0,1
2,EXT1B,extinction4,415.0,1
2,EXT1B,extinction4,540.0,1
2,EXT1B,extinction4,650.0,1
2,EXT1B,extinction4,775.0,1
2,EXT1B,extinction4,800.0,1
2,EXT1B,extinction4,910.0,1
2,EXT1B,extinction4,990.0,1
2,EXT1B,extinction4,1070.0,1
2,EXT1B,extinction4,1165.0,1
2,EXT1B,extinction4,1285.0,1
2,EXT1B,extinction4,1395.0,1
2,EXT1B,extinction4,1545.0,1
2,EXT1B,extinction4,1730.0,1
2,EXT1B,extinction4,1925.0,1
2,EXT1B,lever_training,0.0,2
2,EXT1B,lever_training,50.0,1
2,EXT1B,lever_training,100.0,1
2,EXT1B,lever_training,110.0,1
2,EXT1B,lever_training,185.0,2
2,EXT1B,lever_training,235.0,1
2,EXT1B,lever_training,245.0,1
2,EXT1B,lever_training,295.0,1
2,EXT1B,lever_training,325.0,1
2,EXT1B,lever_training,405.0,1
2,EXT1B,lever_training,455.0,1
2,EXT1B,lever_training,465.0,1
2,EXT1B,lever_training,500.0,1
2,EXT1B,lever_training,510.0,1
2,EXT1B,lever_training,520.0,1
2,EXT1B,lever_training,555.0,1
2,EXT1B,lever_training,615.0,1
2,EXT1B,lever_training,675.0,1
2,EXT1B,lever_training,745.0,1
2,EXT1B,lever_training,810.0,1
2,EXT1B,lever_training,910.0,1
2,EXT1B,lever_training,985.0,1
2,EXT1B,lever_training,1050.0,1
2,EXT1B,lever_training,1115.0,1
2,EXT1B,lever_training,1155.0,1
2,EXT1B,lever_training,1285.0,1
2,EXT1B,lever_training,1460.0,1
2,EXT1B,lever_training,1960.0,1
2,EXT1B,lever_training,2050.0,1
2,EXT1B,lever_training,2145.0,1
2,EXT1B,lever_training,2210.0,1
2,EXT1B,lever_training,2255.0,1
2,EXT1B,lever_training,2390.0,1
2,EXT1B,renewal,0.0,1
2,EXT1B,renewal,100.0,1
2,EXT1B,renewal,185.0,1
2,EXT1B,retrieval,0.0,1
2,EXT1G,LTM2,0.0,1
2,EXT1G,extinction1,0.0,1
2,EXT1G,extinction2,0.0,1
2,EXT1G,extinction3,0.0,1
2,EXT1G,extinction4,0.0,1
2,EXT1G,extinction4,1635.0,1
2,EXT1G,lever_training,0.0,2
2,EXT1G,lever_training,60.0,1
2,EXT1G,lever_training,120.0,1
2,EXT1G,lever_training,135.0,1
2,EXT1G,lever_training,240.0,1
2,EXT1G,lever_training,245.0,1
