study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1G,learning,1045.0,1,0
1a,XIN1G,learning,1050.0,2,0
1a,XIN1G,learning,1055.0,2,0
1a,XIN1G,learning,1060.0,2,0
1a,XIN1G,learning,1065.0,3,0
1a,XIN1G,learning,1070.0,4,0
1a,XIN1G,learning,1075.0,3,0
1a,XIN1G,learning,1080.0,4,0
1a,XIN1G,learning,1085.0,2,0
1a,XIN1G,learning,1090.0,3,0
1a,XIN1G,learning,1095.0,3,0
1a,XIN1G,learning,1100.0,4,0
1a,XIN1G,learning,1105.0,5,0
1a,XIN1G,learning,1110.0,4,0
1a,XIN1G,learning,1115.0,4,0
1a,XIN1G,learning,1120.0,5,0
1a,XIN1G,learning,1125.0,4,0
1a,XIN1G,learning,1130.0,4,0
1a,XIN1G,learning,1135.0,5,0
1a,XIN1G,learning,1140.0,3,0
1a,XIN1G,learning,1145.0,1,0
1a,XIN1G,retest_cue,10.0,0,9
1a,XIN1G,retest_cue,45.0,0,1
1a,XIN1G,retest_cue,55.0,0,1
1a,XIN1G,retest_cue,95.0,0,1
1a,XIN1G,retest_cue,145.0,0,1
1a,XIN1G,retest_cue,160.0,0,4
1a,XIN1G,retest_cue,360.0,0,1
1a,XIN1R,contextual_test,0.0,0,1
1a,XIN1R,contextual_test,20.0,0,1
1a,XIN1R,contextual_test,30.0,0,2
1a,XIN1R,contextual_test,35.0,0,2
1a,XIN1R,contextual_test,55.0,0,2
1a,XIN1R,contextual_test,125.0,0,1
1a,XIN1R,contextual_test,155.0,0,1
1a,XIN1R,cue_test,50.0,0,8
1a,XIN1R,cue_test,125.0,0,1
1a,XIN1R,cue_test,215.0,1,0
1a,XIN1R,cue_test,220.0,2,0
1a,XIN1R,cue_test,225.0,1,0
1a,XIN1R,cue_test,230.0,4,0
1a,XIN1R,cue_test,235.0,2,0
1a,XIN1R,cue_test,240.0,4,0
1a,XIN1R,cue_test,250.0,5,0
1a,XIN1R,cue_test,255.0,5,0
1a,XIN1R,cue_test,260.0,1,0
1a,XIN1R,cue_test,265.0,4,0
1a,XIN1R,cue_test,270.0,5,0
1a,XIN1R,cue_test,275.0,4,0
1a,XIN1R,cue_test,280.0,1,0
1a,XIN1R,cue_test,285.0,3,0
1a,XIN1R,cue_test,290.0,5,0
1a,XIN1R,cue_test,295.0,5,0
1a,XIN1R,cue_test,300.0,4,0
1a,XIN1R,cue_test,305.0,4,0
1a,XIN1R,cue_test,310.0,2,0
1a,XIN1R,cue_test,315.0,1,0
1a,XIN1R,cue_test,320.0,2,0
