session_name,decile,state_label,mean_occupancy,sem_occupancy,n_subjects,spearman_rho,spearman_pval
extinction1,2,Goal-Directed,0.016095317725752508,0.006019007667595814,16,-0.7212121212121211,0.01857315508946023
extinction1,2,Quiescent,0.8017697881828316,0.07691723454552733,16,0.7575757575757575,0.011143446799694208
extinction1,2,Social/Appetitive,0.005434782608695652,0.005434782608695652,16,0.0,1.0
extinction1,3,Fear/Distress,0.15625,0.07148714052256024,16,-0.3939393939393939,0.25999776683488757
extinction1,3,Goal-Directed,0.013878676470588235,0.004669684522481582,16,-0.7212121212121211,0.01857315508946023
extinction1,3,Quiescent,0.828952205882353,0.0694742986878216,16,0.7575757575757575,0.011143446799694208
extinction1,3,Social/Appetitive,0.0009191176470588235,0.0009191176470588235,16,0.0,1.0
extinction1,4,Fear/Distress,0.06759049773755656,0.04376581925375317,16,-0.3939393939393939,0.25999776683488757
extinction1,4,Goal-Directed,0.01812311463046757,0.007243146174988743,16,-0.7212121212121211,0.01857315508946023
extinction1,4,Quiescent,0.913367269984917,0.043260645119342835,16,0.7575757575757575,0.011143446799694208
extinction1,4,Social/Appetitive,0.0009191176470588235,0.0009191176470588235,16,0.0,1.0
extinction1,5,Fear/Distress,0.09399909420289855,0.04612559773884777,16,-0.3939393939393939,0.25999776683488757
extinction1,5,Goal-Directed,0.017527173913043478,0.005861459166020474,16,-0.7212121212121211,0.01857315508946023
extinction1,5,Quiescent,0.8866621376811594,0.04458811686749411,16,0.7575757575757575,0.011143446799694208
extinction1,5,Social/Appetitive,0.0018115942028985507,0.001237554440333285,16,0.0,1.0
extinction1,6,Fear/Distress,0.05514705882352941,0.031007565955458713,16,-0.3939393939393939,0.25999776683488757
extinction1,6,Goal-Directed,0.010845588235294117,0.0037800959745357353,16,-0.7212121212121211,0.01857315508946023
extinction1,6,Quiescent,0.9303308823529411,0.029799187031226707,16,0.7575757575757575,0.011143446799694208
extinction1,6,Social/Appetitive,0.003676470588235294,0.002511507540676372,16,0.0,1.0
