subject_id,session_name,study,session_type,n_bins,n_fear_bins,n_goal_bins,n_other_bins,n_fg_transitions,conflict_episodes,alternation_rate,transition_rate,fg_transition_rate
XIN2R,retest_cue,1b,other,108,0,90,18,0,0,0.0,0.21495327102803738,0.0
XIN3B,contextual_test,1a,reward_dominant,36,0,11,25,0,0,0.0,0.2857142857142857,0.0
XIN3B,cue_test,1a,both_threat_reward,108,0,6,102,0,0,0.0,0.11214953271028037,0.0
XIN3B,generalization_5k,1a,reward_dominant,108,0,4,104,0,0,0.0,0.07476635514018691,0.0
XIN3B,generalization_7k,1a,both_threat_reward,108,0,5,103,0,0,0.0,0.09345794392523364,0.0
XIN3B,learning,1a,both_threat_reward,228,0,27,201,0,0,0.0,0.19823788546255505,0.0
XIN3B,retest_contextual,1b,reward_dominant,36,0,27,9,0,0,0.0,0.34285714285714286,0.0
XIN3B,retest_cue,1b,other,108,0,12,96,0,0,0.0,0.1588785046728972,0.0
XIN3G,contextual_test,1a,reward_dominant,36,0,28,8,0,0,0.0,0.34285714285714286,0.0
XIN3G,cue_test,1a,both_threat_reward,108,0,34,74,0,0,0.0,0.308411214953271,0.0
XIN3G,generalization_5k,1a,reward_dominant,108,0,33,75,0,0,0.0,0.37383177570093457,0.0
XIN3G,generalization_7k,1a,both_threat_reward,108,0,38,70,0,0,0.0,0.4485981308411215,0.0
XIN3G,learning,1a,both_threat_reward,228,0,54,174,0,0,0.0,0.19823788546255505,0.0
XIN3G,retest_contextual,1b,reward_dominant,36,0,36,0,0,0,0.0,0.11428571428571428,0.0
XIN3G,retest_cue,1b,other,108,0,65,43,0,0,0.0,0.3644859813084112,0.0
XIN3R,contextual_test,1a,reward_dominant,36,0,33,3,0,0,0.0,0.2571428571428571,0.0
XIN3R,cue_test,1a,both_threat_reward,108,0,9,99,0,0,0.0,0.16822429906542055,0.0
XIN3R,generalization_5k,1a,reward_dominant,108,0,41,67,0,0,0.0,0.32710280373831774,0.0
XIN3R,generalization_7k,1a,both_threat_reward,108,0,12,96,0,0,0.0,0.205607476635514,0.0
XIN3R,learning,1a,both_threat_reward,228,0,70,158,0,0,0.0,0.2599118942731278,0.0
XIN3R,retest_contextual,1b,reward_dominant,36,0,36,0,0,0,0.0,0.02857142857142857,0.0
XIN3R,retest_cue,1b,other,108,0,8,100,0,0,0.0,0.11214953271028037,0.0
XIN4B,contextual_test,1a,reward_dominant,36,0,13,23,0,0,0.0,0.3142857142857143,0.0
XIN4B,cue_test,1a,both_threat_reward,108,32,12,64,3,0,0.0,0.308411214953271,0.028037383177570093
XIN4B,generalization_5k,1a,reward_dominant,108,0,8,100,0,0,0.0,0.1308411214953271,0.0
XIN4B,generalization_7k,1a,both_threat_reward,108,0,12,96,0,0,0.0,0.19626168224299065,0.0
XIN4B,learning,1a,both_threat_reward,228,34,30,164,2,0,0.0,0.21145374449339208,0.00881057268722467
XIN4B,retest_contextual,1b,reward_dominant,36,0,27,9,0,0,0.0,0.34285714285714286,0.0
XIN4B,retest_cue,1b,other,108,0,9,99,0,0,0.0,0.1308411214953271,0.0
XIN4G,contextual_test,1a,reward_dominant,36,0,26,10,0,0,0.0,0.2571428571428571,0.0
XIN4G,cue_test,1a,both_threat_reward,108,0,8,100,0,0,0.0,0.12149532710280374,0.0
XIN4G,generalization_5k,1a,reward_dominant,108,0,28,80,0,0,0.0,0.21495327102803738,0.0
XIN4G,generalization_7k,1a,both_threat_reward,108,0,10,98,0,0,0.0,0.1308411214953271,0.0
XIN4G,learning,1a,both_threat_reward,228,49,69,110,0,0,0.0,0.2643171806167401,0.0
XIN4G,retest_contextual,1b,reward_dominant,36,0,34,2,0,0,0.0,0.11428571428571428,0.0
XIN4G,retest_cue,1b,other,108,0,56,52,0,0,0.0,0.34579439252336447,0.0
XIN4R,contextual_test,1a,reward_dominant,36,0,2,34,0,0,0.0,0.05714285714285714,0.0
XIN4R,cue_test,1a,both_threat_reward,108,15,4,89,0,0,0.0,0.1308411214953271,0.0
XIN4R,generalization_5k,1a,reward_dominant,108,0,5,103,0,0,0.0,0.09345794392523364,0.0
XIN4R,generalization_7k,1a,both_threat_reward,108,0,3,105,0,0,0.0,0.04672897196261682,0.0
XIN4R,learning,1a,both_threat_reward,228,34,14,180,0,0,0.0,0.09691629955947137,0.0
XIN4R,retest_contextual,1b,reward_dominant,36,0,22,14,0,0,0.0,0.22857142857142856,0.0
XIN4R,retest_cue,1b,other,108,0,5,103,0,0,0.0,0.09345794392523364,0.0
