model_rank,model_seed,state,usv22_mean,usv50_mean,lever_mean,freezing_mean
6,22,2,3.2247253347192966,1.0568692822322234,-0.16032709858053065,0.9472193398679103
6,22,3,-0.2753253166742413,-0.32207013479190805,-0.16032709858053035,-0.03797741788876659
7,13,0,-0.27532531667424126,-0.09120450910357555,-0.16032709858053037,-0.08560443239089975
7,13,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
7,13,2,3.2302977616406587,1.0733790700279335,-0.16032709858053037,0.942442003751069
7,13,3,-0.27532531667424104,-0.3220820682447648,-0.16032709858053026,0.8882723878980958
8,52,0,-0.2753253166742414,-0.32208206824476515,-0.16032709858053049,1.8642580209511233
8,52,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
8,52,2,3.2327405573761787,1.070673525425505,-0.16032709858053054,0.9431998984342972
8,52,3,-0.27532531667424176,-0.06948336952480282,-0.16032709858053049,-0.27380835129949394
9,59,0,-0.27532531667424204,-0.08984835673330276,-0.1603270985805305,-0.08292229224644612
9,59,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
9,59,2,3.2476612197935237,1.0513897393318963,-0.16032709858053037,0.948475639202737
9,59,3,-0.2753253166742414,-0.3220820488685888,-0.16032709858053026,1.5695597231754832
10,32,0,-0.27532531667424137,-0.3220820682447649,-0.1603270985805302,1.8425392390881805
10,32,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
10,32,2,3.2293135942537696,1.0722638425469293,-0.16032709858053032,0.9426699760903969
10,32,3,-0.2753253166742413,-0.07212739035217192,-0.16032709858053057,-0.25171475697974527
11,17,0,-0.27532531667424176,2.413997840612703,-0.16032709858053057,-0.5119839357745164
11,17,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
11,17,2,3.202193968386581,1.0700876575251677,-0.16032709858053057,0.9582934047364216
11,17,3,-0.27532531667424126,-0.3034023758567706,-0.1603270985805304,-0.044707341040951656
