study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1a,XIN4B,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Bre 2024-09-06 11_06 AM_Stats.xlsx,15,17.0
1a,XIN4G,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin4Gcontext 2024-04-29  9_48 PM_Stats.xlsx,15,68.0
1a,XIN4G,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Gcue 2024-04-30 11_16 AM_Stats.xlsx,15,13.0
1a,XIN4G,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4G5k 2024-04-30 11_07 AM_Stats.xlsx,15,66.0
1a,XIN4G,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4G7k 2024-04-30 12_16 AM_Stats.xlsx,15,18.0
1a,XIN4G,learning,22,研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Glearn 2024-04-25  7_14 PM_Stats.xlsx,15,194.0
1a,XIN4G,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Glearn 2024-04-29  9_44 PM_Stats.xlsx,0,167.0
1a,XIN4G,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Gre 2024-09-06 11_01 AM_Stats.xlsx,15,47.0
1a,XIN4R,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin4Rcontext 2024-04-29  9_39 PM_Stats.xlsx,15,2.0
1a,XIN4R,cue_test,22,研究1a/oringinaldata/22kHz Matlab export/cue test/Xin4Rcue 2024-04-26  1_51 PM_Stats.xlsx,15,30.0
1a,XIN4R,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin4Rcue 2024-04-30 11_11 AM_Stats.xlsx,15,6.0
1a,XIN4R,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin4R5k 2024-04-30  9_58 AM_Stats.xlsx,15,8.0
1a,XIN4R,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin4R7k 2024-04-30 12_17 AM_Stats.xlsx,15,8.0
1a,XIN4R,learning,22,研究1a/oringinaldata/22kHz Matlab export/learning/learn/Xin4Rlearn 2024-04-25  7_16 PM_Stats.xlsx,15,63.0
1a,XIN4R,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin4Rlearn 2024-04-29  9_39 PM_Stats.xlsx,0,31.0
1a,XIN4R,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin4Rre 2024-09-06 10_53 AM_Stats.xlsx,15,15.0
1b,XIN1B,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin1Bcontext 2024-04-29  8_41 PM_Stats.xlsx,0,90.0
1b,XIN1B,pretest_cue,22,研究1b/oringinaldata/22kHz USVs/cue test/前测/Xin1Bcue 2024-04-26  1_46 PM_Stats.xlsx,0,274.0
1b,XIN1B,pretest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/前测/Xin1Bcue 2024-04-30 10_21 AM_Stats.xlsx,0,8.0
1b,XIN1B,retest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/后测/Xin1Bcontext2 2024-09-23  7_14 PM_Stats.xlsx,0,18.0
1b,XIN1B,retest_cue,50,研究1b/oringinaldata/50kHz USVs/cue test/后测/xin1Bcue2 2024-09-23  8_11 PM_Stats.xlsx,0,7.0
1b,XIN1G,pretest_contextual,50,研究1b/oringinaldata/50kHz USVs/contextual test/前测/Xin1Gcontext 2024-04-29  8_21 PM_Stats.xlsx,0,1.0
