study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
1a,XIN3R,cue_test,0.0,560.0,True,True,True,False,control,B
1a,XIN3R,generalization_5k,0.0,560.0,True,True,True,False,control,B
1a,XIN3R,generalization_7k,0.0,560.0,True,True,True,False,control,B
1a,XIN3R,learning,0.0,1165.0,True,True,True,False,control,A
1a,XIN3R,retest_cue,0.0,560.0,True,True,False,False,control,B
1a,XIN4B,contextual_test,0.0,200.0,True,True,True,False,shock,A
1a,XIN4B,cue_test,0.0,560.0,True,True,True,False,shock,B
1a,XIN4B,generalization_5k,0.0,555.0,True,True,True,False,shock,B
1a,XIN4B,generalization_7k,0.0,565.0,True,True,True,False,shock,B
1a,XIN4B,learning,0.0,1175.0,True,True,True,False,shock,A
1a,XIN4B,retest_cue,0.0,560.0,True,True,False,False,shock,B
1a,XIN4G,contextual_test,0.0,200.0,True,True,True,False,shock,A
1a,XIN4G,cue_test,0.0,560.0,True,True,True,False,shock,B
1a,XIN4G,generalization_5k,0.0,555.0,True,True,True,False,shock,B
1a,XIN4G,generalization_7k,0.0,565.0,True,True,True,False,shock,B
1a,XIN4G,learning,0.0,1175.0,True,True,True,False,shock,A
1a,XIN4G,retest_cue,0.0,560.0,True,True,False,False,shock,B
1a,XIN4R,contextual_test,0.0,200.0,True,True,True,False,shock,A
1a,XIN4R,cue_test,0.0,560.0,True,True,True,False,shock,B
1a,XIN4R,generalization_5k,0.0,560.0,True,True,True,False,shock,B
1a,XIN4R,generalization_7k,0.0,560.0,True,True,True,False,shock,B
1a,XIN4R,learning,0.0,1170.0,True,True,True,False,shock,A
1a,XIN4R,retest_cue,0.0,565.0,True,True,False,False,shock,B
1b,XIN1B,contextual_test,0.0,175.0,False,False,True,False,shock,A
1b,XIN1B,cue_test,0.0,535.0,False,False,True,False,shock,B
1b,XIN1B,pretest_contextual,0.0,200.0,True,True,False,False,shock,A
1b,XIN1B,pretest_cue,0.0,560.0,True,True,False,False,shock,B
1b,XIN1B,retest_contextual,0.0,200.0,True,True,True,False,shock,A
1b,XIN1B,retest_cue,0.0,565.0,True,True,True,False,shock,B
